"","ohi_rgn","percent_saup","saup_id","saup_name","fao_rgn","prop_area"
"305",62,1,947,"Morocco (Mediterranean)",37,1
"306",63,1,948,"Morocco (South)",34,1
"307",131,1,949,"Nicaragua (Caribbean)",31,1
"308",131,1,950,"Nicaragua (Pacific)",77,1
"309",129,1,951,"Panama (Caribbean)",31,1
"310",129,1,952,"Panama (Pacific)",77,1
"311",102,1,953,"South Africa (Atlantic Coast)",47,1
"312",102,1,954,"South Africa (Indian Ocean Coast)",51,0.447622215
"313",102,1,954,"South Africa (Indian Ocean Coast)",47,0.552377785
"314",25,1,956,"Thailand (Andaman Sea)",57,1
"315",25,1,957,"Thailand (Gulf of Thailand)",71,1
"316",163,1,958,"USA (Alaska, Arctic)",18,1
"317",163,1,959,"USA (Alaska, Subarctic)",67,0.861832329
"318",163,1,959,"USA (Alaska, Subarctic)",61,0.138167671
"319",60,0.004205981,962,"Spain (mainland, Med and Gulf of Cadiz)",34,0.014816465
"320",60,0.004205981,962,"Spain (mainland, Med and Gulf of Cadiz)",27,0.084911992
"321",60,0.004205981,962,"Spain (mainland, Med and Gulf of Cadiz)",37,0.900271544
"322",182,0.995794019,962,"Spain (mainland, Med and Gulf of Cadiz)",34,0.014816465
"323",182,0.995794019,962,"Spain (mainland, Med and Gulf of Cadiz)",27,0.084911992
"324",182,0.995794019,962,"Spain (mainland, Med and Gulf of Cadiz)",37,0.900271544
"325",182,1,963,"Spain (Northwest)",27,1
"326",76,1,966,"Turkey (Marmara Sea)",37,1
"327",250,1,967,"Aruba (Netherlands)",31,1
"328",54,1,968,"United Arab Emirates (Fujairah)",51,1
"329",171,1,969,"Fernando de Noronha (Brazil)",41,1
"330",171,1,970,"St Paul and St. Peter Archipelago (Brazil)",41,0.567997422
"331",171,1,970,"St Paul and St. Peter Archipelago (Brazil)",34,0.432002578
"332",210,1,971,"Japan (Ogasawara Islands)",61,1
"333",30,1,972,"Glorieuse Islands (France)",51,1
