"","ohi_rgn","species","rgn_typ","rgn_nam","probability","FAOarea"
"12637",67,"Umbrina canariensis","eez","Libya",0,NA
"12638",68,"Umbrina canariensis","eez","Malta",0,NA
"12639",76,"Umbrina canariensis","eez","Turkey",0,NA
"12640",77,"Umbrina canariensis","eez","Syria",0,NA
"12641",78,"Umbrina canariensis","eez","Lebanon",0,NA
"12642",79,"Umbrina canariensis","eez","Israel",0,NA
"12643",80,"Umbrina canariensis","eez","Greece",0,NA
"12644",81,"Umbrina canariensis","eez","Cyprus",0,NA
"12645",82,"Umbrina canariensis","eez","Albania",0,NA
"12646",84,"Umbrina canariensis","eez","Algeria",0,NA
"12647",85,"Umbrina canariensis","eez","Ascension",0,NA
"12648",86,"Umbrina canariensis","eez","Saint Helena",0,NA
"12649",96,"Umbrina canariensis","eez","Sierra Leone",0,NA
"12650",97,"Umbrina canariensis","eez","Liberia",0,NA
"12651",98,"Umbrina canariensis","eez","Togo",0,NA
"12652",99,"Umbrina canariensis","eez","Benin",0,NA
"12653",100,"Umbrina canariensis","eez","R_publique du Congo",0,NA
"12654",101,"Umbrina canariensis","eez","Namibia",0,NA
"12655",102,"Umbrina canariensis","eez","South Africa",0,NA
"12656",103,"Umbrina canariensis","eez","Sao Tome and Principe",0,NA
"12657",104,"Umbrina canariensis","eez","Equatorial Guinea",0,NA
"12658",106,"Umbrina canariensis","eez","Ghana",0,NA
"12659",179,"Umbrina canariensis","eez","France",0,NA
"12660",180,"Umbrina canariensis","eez","United Kingdom",0,NA
"12661",181,"Umbrina canariensis","eez","Ireland",0,NA
"12662",182,"Umbrina canariensis","eez","Spain",0,NA
"12663",183,"Umbrina canariensis","eez","Portugal",0,NA
"12664",184,"Umbrina canariensis","eez","Italy",0,NA
"12665",186,"Umbrina canariensis","eez","Montenegro",0,NA
"12666",187,"Umbrina canariensis","eez","Croatia",0,NA
"12667",188,"Umbrina canariensis","eez","Slovenia",0,NA
"12668",191,"Umbrina canariensis","eez","Iran",0,NA
"12669",193,"Umbrina canariensis","eez","Guinea Bissau",0,NA
"12670",194,"Umbrina canariensis","eez","Guinea",0,NA
"12671",195,"Umbrina canariensis","eez","Ivory Coast",0,NA
"12672",196,"Umbrina canariensis","eez","Nigeria",0,NA
"12673",197,"Umbrina canariensis","eez","Cameroon",0,NA
"12674",198,"Umbrina canariensis","eez","Gabon",0,NA
"12675",199,"Umbrina canariensis","eez","Democratic Republic of the Congo",0,NA
"12676",200,"Umbrina canariensis","eez","Angola",0,NA
"12677",202,"Umbrina canariensis","eez","Tanzania",0,NA
"12678",203,"Umbrina canariensis","eez","India",0,NA
"12679",214,"Umbrina canariensis","eez","Egypt",0,NA
"12680",228,"Umbrina canariensis","eez","Guernsey",0,NA
"12681",262,"Umbrina canariensis","fao","Atlantic, Northeast",0,27
"12682",264,"Umbrina canariensis","fao","Atlantic, Eastern Central",0,34
"12683",267,"Umbrina canariensis","fao","Atlantic, Southeast",0,47
"12684",269,"Umbrina canariensis","fao","Indian Ocean, Western",0,51
"12685",8,"Tylosurus crocodilus","eez","Palau",0.5,NA
"12686",9,"Tylosurus crocodilus","eez","Micronesia",0.5,NA
"12687",11,"Tylosurus crocodilus","eez","Marshall Islands",0.5,NA
"12688",12,"Tylosurus crocodilus","eez","Wake Island",0.5,NA
"12689",13,"Tylosurus crocodilus","eez","Northern Mariana Islands and Guam",0.5,NA
"12690",14,"Tylosurus crocodilus","eez","Taiwan",0.5,NA
"12691",15,"Tylosurus crocodilus","eez","Philippines",0.5,NA
"12692",24,"Tylosurus crocodilus","eez","Cambodia",0.5,NA
"12693",25,"Tylosurus crocodilus","eez","Thailand",0.5,NA
"12694",26,"Tylosurus crocodilus","eez","Andaman and Nicobar",0.5,NA
"12695",39,"Tylosurus crocodilus","eez","Maldives",0.5,NA
"12696",40,"Tylosurus crocodilus","eez","Sri Lanka",0.5,NA
"12697",44,"Tylosurus crocodilus","eez","Somalia",0.5,NA
"12698",45,"Tylosurus crocodilus","eez","Eritrea",0.5,NA
"12699",46,"Tylosurus crocodilus","eez","Djibouti",0.5,NA
"12700",47,"Tylosurus crocodilus","eez","Yemen",0.5,NA
"12701",48,"Tylosurus crocodilus","eez","Oman",0.5,NA
"12702",49,"Tylosurus crocodilus","eez","Sudan",0.5,NA
"12703",50,"Tylosurus crocodilus","eez","Saudi Arabia",0.5,NA
"12704",56,"Tylosurus crocodilus","eez","Cape Verde",0.5,NA
"12705",64,"Tylosurus crocodilus","eez","Mauritania",0.5,NA
"12706",65,"Tylosurus crocodilus","eez","Gambia",0.5,NA
"12707",66,"Tylosurus crocodilus","eez","Senegal",0.5,NA
"12708",96,"Tylosurus crocodilus","eez","Sierra Leone",0.5,NA
"12709",97,"Tylosurus crocodilus","eez","Liberia",0.5,NA
"12710",98,"Tylosurus crocodilus","eez","Togo",0.5,NA
"12711",99,"Tylosurus crocodilus","eez","Benin",0.5,NA
"12712",103,"Tylosurus crocodilus","eez","Sao Tome and Principe",0.5,NA
"12713",104,"Tylosurus crocodilus","eez","Equatorial Guinea",0.5,NA
"12714",106,"Tylosurus crocodilus","eez","Ghana",0.5,NA
"12715",107,"Tylosurus crocodilus","eez","Clipperton Island",0.5,NA
"12716",110,"Tylosurus crocodilus","eez","Bahamas",0.5,NA
"12717",112,"Tylosurus crocodilus","eez","Cuba",0.5,NA
"12718",113,"Tylosurus crocodilus","eez","Cayman Islands",0.5,NA
"12719",114,"Tylosurus crocodilus","eez","Haiti",0.5,NA
"12720",115,"Tylosurus crocodilus","eez","Dominican Republic",0.5,NA
"12721",116,"Tylosurus crocodilus","eez","Puerto Rico and Virgin Islands of the United States",0.5,NA
"12722",117,"Tylosurus crocodilus","eez","British Virgin Islands",0.5,NA
"12723",118,"Tylosurus crocodilus","eez","Anguilla",0.5,NA
"12724",119,"Tylosurus crocodilus","eez","Saint Kitts and Nevis",0.5,NA
"12725",120,"Tylosurus crocodilus","eez","Antigua and Barbuda",0.5,NA
"12726",121,"Tylosurus crocodilus","eez","Montserrat",0.5,NA
"12727",122,"Tylosurus crocodilus","eez","Saint Lucia",0.5,NA
"12728",123,"Tylosurus crocodilus","eez","Dominica",0.5,NA
"12729",124,"Tylosurus crocodilus","eez","Barbados",0.5,NA
"12730",125,"Tylosurus crocodilus","eez","Grenada",0.5,NA
"12731",126,"Tylosurus crocodilus","eez","Trinidad and Tobago",0.5,NA
"12732",127,"Tylosurus crocodilus","eez","Saint Vincent and the Grenadines",0.5,NA
"12733",129,"Tylosurus crocodilus","eez","Panama",0.5,NA
"12734",130,"Tylosurus crocodilus","eez","Costa Rica",0.5,NA
"12735",131,"Tylosurus crocodilus","eez","Nicaragua",0.5,NA
"12736",132,"Tylosurus crocodilus","eez","Colombia",0.5,NA
"12737",133,"Tylosurus crocodilus","eez","Honduras",0.5,NA
"12738",134,"Tylosurus crocodilus","eez","El Salvador",0.5,NA
"12739",135,"Tylosurus crocodilus","eez","Mexico",0.5,NA
"12740",136,"Tylosurus crocodilus","eez","Guatemala",0.5,NA
"12741",137,"Tylosurus crocodilus","eez","Ecuador",0.5,NA
"12742",139,"Tylosurus crocodilus","eez","Venezuela",0.5,NA
"12743",140,"Tylosurus crocodilus","eez","Guadeloupe and Martinique",0.5,NA
"12744",148,"Tylosurus crocodilus","eez","Line Group",0.5,NA
"12745",150,"Tylosurus crocodilus","eez","Palmyra Atoll",0.5,NA
"12746",159,"Tylosurus crocodilus","eez","Johnston Atoll",0.5,NA
"12747",163,"Tylosurus crocodilus","eez","United States",0.5,NA
"12748",164,"Tylosurus crocodilus","eez","Belize",0.5,NA
"12749",166,"Tylosurus crocodilus","eez","Jamaica",0.5,NA
"12750",167,"Tylosurus crocodilus","eez","Guyana",0.5,NA
"12751",168,"Tylosurus crocodilus","eez","Suriname",0.5,NA
"12752",169,"Tylosurus crocodilus","eez","French Guiana",0.5,NA
"12753",171,"Tylosurus crocodilus","eez","Brazil",0.5,NA
"12754",193,"Tylosurus crocodilus","eez","Guinea Bissau",0.5,NA
"12755",194,"Tylosurus crocodilus","eez","Guinea",0.5,NA
"12756",195,"Tylosurus crocodilus","eez","Ivory Coast",0.5,NA
"12757",196,"Tylosurus crocodilus","eez","Nigeria",0.5,NA
"12758",197,"Tylosurus crocodilus","eez","Cameroon",0.5,NA
"12759",203,"Tylosurus crocodilus","eez","India",0.5,NA
"12760",204,"Tylosurus crocodilus","eez","Bangladesh",0.5,NA
"12761",205,"Tylosurus crocodilus","eez","Myanmar",0.5,NA
"12762",206,"Tylosurus crocodilus","eez","Malaysia",0.5,NA
"12763",207,"Tylosurus crocodilus","eez","Vietnam",0.5,NA
"12764",208,"Tylosurus crocodilus","eez","Singapore",0.5,NA
"12765",209,"Tylosurus crocodilus","eez","China",0.5,NA
"12766",210,"Tylosurus crocodilus","eez","Japan",0.5,NA
"12767",212,"Tylosurus crocodilus","eez","Kiribati",0.5,NA
"12768",216,"Tylosurus crocodilus","eez","Indonesia",0.5,NA
"12769",221,"Tylosurus crocodilus","eez","Northern Saint-Martin",0.5,NA
"12770",244,"Tylosurus crocodilus","eez","Curaçao",0.5,NA
"12771",245,"Tylosurus crocodilus","eez","Bonaire",0.5,NA
"12772",247,"Tylosurus crocodilus","eez","Brunei",0.5,NA
"12773",248,"Tylosurus crocodilus","eez","Saba",0.5,NA
"12774",250,"Tylosurus crocodilus","eez","Aruba",0.5,NA
"12775",8,"Tylosurus crocodilus","eez","Palau",0,NA
"12776",9,"Tylosurus crocodilus","eez","Micronesia",0,NA
"12777",11,"Tylosurus crocodilus","eez","Marshall Islands",0,NA
"12778",12,"Tylosurus crocodilus","eez","Wake Island",0,NA
"12779",13,"Tylosurus crocodilus","eez","Northern Mariana Islands and Guam",0,NA
"12780",14,"Tylosurus crocodilus","eez","Taiwan",0,NA
"12781",15,"Tylosurus crocodilus","eez","Philippines",0,NA
"12782",24,"Tylosurus crocodilus","eez","Cambodia",0,NA
"12783",25,"Tylosurus crocodilus","eez","Thailand",0,NA
"12784",26,"Tylosurus crocodilus","eez","Andaman and Nicobar",0,NA
"12785",39,"Tylosurus crocodilus","eez","Maldives",0,NA
"12786",40,"Tylosurus crocodilus","eez","Sri Lanka",0,NA
"12787",44,"Tylosurus crocodilus","eez","Somalia",0,NA
"12788",45,"Tylosurus crocodilus","eez","Eritrea",0,NA
"12789",46,"Tylosurus crocodilus","eez","Djibouti",0,NA
"12790",47,"Tylosurus crocodilus","eez","Yemen",0,NA
"12791",48,"Tylosurus crocodilus","eez","Oman",0,NA
"12792",49,"Tylosurus crocodilus","eez","Sudan",0,NA
"12793",50,"Tylosurus crocodilus","eez","Saudi Arabia",0,NA
"12794",56,"Tylosurus crocodilus","eez","Cape Verde",0,NA
"12795",64,"Tylosurus crocodilus","eez","Mauritania",0,NA
"12796",65,"Tylosurus crocodilus","eez","Gambia",0,NA
"12797",66,"Tylosurus crocodilus","eez","Senegal",0,NA
"12798",96,"Tylosurus crocodilus","eez","Sierra Leone",0,NA
"12799",97,"Tylosurus crocodilus","eez","Liberia",0,NA
"12800",98,"Tylosurus crocodilus","eez","Togo",0,NA
"12801",99,"Tylosurus crocodilus","eez","Benin",0,NA
"12802",103,"Tylosurus crocodilus","eez","Sao Tome and Principe",0,NA
"12803",104,"Tylosurus crocodilus","eez","Equatorial Guinea",0,NA
"12804",106,"Tylosurus crocodilus","eez","Ghana",0,NA
"12805",107,"Tylosurus crocodilus","eez","Clipperton Island",0,NA
"12806",110,"Tylosurus crocodilus","eez","Bahamas",0,NA
"12807",112,"Tylosurus crocodilus","eez","Cuba",0,NA
"12808",113,"Tylosurus crocodilus","eez","Cayman Islands",0,NA
"12809",114,"Tylosurus crocodilus","eez","Haiti",0,NA
"12810",115,"Tylosurus crocodilus","eez","Dominican Republic",0,NA
"12811",116,"Tylosurus crocodilus","eez","Puerto Rico and Virgin Islands of the United States",0,NA
"12812",117,"Tylosurus crocodilus","eez","British Virgin Islands",0,NA
"12813",118,"Tylosurus crocodilus","eez","Anguilla",0,NA
"12814",119,"Tylosurus crocodilus","eez","Saint Kitts and Nevis",0,NA
"12815",120,"Tylosurus crocodilus","eez","Antigua and Barbuda",0,NA
"12816",121,"Tylosurus crocodilus","eez","Montserrat",0,NA
"12817",122,"Tylosurus crocodilus","eez","Saint Lucia",0,NA
"12818",123,"Tylosurus crocodilus","eez","Dominica",0,NA
"12819",124,"Tylosurus crocodilus","eez","Barbados",0,NA
"12820",125,"Tylosurus crocodilus","eez","Grenada",0,NA
"12821",126,"Tylosurus crocodilus","eez","Trinidad and Tobago",0,NA
"12822",127,"Tylosurus crocodilus","eez","Saint Vincent and the Grenadines",0,NA
"12823",129,"Tylosurus crocodilus","eez","Panama",0,NA
"12824",130,"Tylosurus crocodilus","eez","Costa Rica",0,NA
"12825",131,"Tylosurus crocodilus","eez","Nicaragua",0,NA
"12826",132,"Tylosurus crocodilus","eez","Colombia",0,NA
"12827",133,"Tylosurus crocodilus","eez","Honduras",0,NA
"12828",134,"Tylosurus crocodilus","eez","El Salvador",0,NA
"12829",135,"Tylosurus crocodilus","eez","Mexico",0,NA
"12830",136,"Tylosurus crocodilus","eez","Guatemala",0,NA
"12831",137,"Tylosurus crocodilus","eez","Ecuador",0,NA
"12832",139,"Tylosurus crocodilus","eez","Venezuela",0,NA
"12833",140,"Tylosurus crocodilus","eez","Guadeloupe and Martinique",0,NA
"12834",148,"Tylosurus crocodilus","eez","Line Group",0,NA
"12835",150,"Tylosurus crocodilus","eez","Palmyra Atoll",0,NA
"12836",159,"Tylosurus crocodilus","eez","Johnston Atoll",0,NA
"12837",163,"Tylosurus crocodilus","eez","United States",0,NA
"12838",164,"Tylosurus crocodilus","eez","Belize",0,NA
"12839",166,"Tylosurus crocodilus","eez","Jamaica",0,NA
"12840",167,"Tylosurus crocodilus","eez","Guyana",0,NA
"12841",168,"Tylosurus crocodilus","eez","Suriname",0,NA
"12842",169,"Tylosurus crocodilus","eez","French Guiana",0,NA
"12843",171,"Tylosurus crocodilus","eez","Brazil",0,NA
"12844",193,"Tylosurus crocodilus","eez","Guinea Bissau",0,NA
"12845",194,"Tylosurus crocodilus","eez","Guinea",0,NA
"12846",195,"Tylosurus crocodilus","eez","Ivory Coast",0,NA
"12847",196,"Tylosurus crocodilus","eez","Nigeria",0,NA
"12848",197,"Tylosurus crocodilus","eez","Cameroon",0,NA
"12849",203,"Tylosurus crocodilus","eez","India",0,NA
"12850",204,"Tylosurus crocodilus","eez","Bangladesh",0,NA
"12851",205,"Tylosurus crocodilus","eez","Myanmar",0,NA
"12852",206,"Tylosurus crocodilus","eez","Malaysia",0,NA
"12853",207,"Tylosurus crocodilus","eez","Vietnam",0,NA
"12854",208,"Tylosurus crocodilus","eez","Singapore",0,NA
"12855",209,"Tylosurus crocodilus","eez","China",0,NA
"12856",210,"Tylosurus crocodilus","eez","Japan",0,NA
"12857",212,"Tylosurus crocodilus","eez","Kiribati",0,NA
"12858",216,"Tylosurus crocodilus","eez","Indonesia",0,NA
"12859",221,"Tylosurus crocodilus","eez","Northern Saint-Martin",0,NA
"12860",244,"Tylosurus crocodilus","eez","Curaçao",0,NA
"12861",245,"Tylosurus crocodilus","eez","Bonaire",0,NA
"12862",247,"Tylosurus crocodilus","eez","Brunei",0,NA
"12863",248,"Tylosurus crocodilus","eez","Saba",0,NA
"12864",250,"Tylosurus crocodilus","eez","Aruba",0,NA
"12865",59,"Trisopterus minutus","eez","Belgium",0.5,NA
"12866",62,"Trisopterus minutus","eez","Morocco",0.5,NA
"12867",69,"Trisopterus minutus","eez","Latvia",0.5,NA
"12868",70,"Trisopterus minutus","eez","Estonia",0.5,NA
"12869",73,"Trisopterus minutus","eez","Russia",0.5,NA
"12870",141,"Trisopterus minutus","eez","Faeroe Islands",0.5,NA
"12871",143,"Trisopterus minutus","eez","Iceland",0.5,NA
"12872",174,"Trisopterus minutus","eez","Finland",0.5,NA
"12873",175,"Trisopterus minutus","eez","Denmark",0.5,NA
"12874",176,"Trisopterus minutus","eez","Germany",0.5,NA
"12875",177,"Trisopterus minutus","eez","Netherlands",0.5,NA
"12876",178,"Trisopterus minutus","eez","Poland",0.5,NA
"12877",179,"Trisopterus minutus","eez","France",0.5,NA
"12878",180,"Trisopterus minutus","eez","United Kingdom",0.5,NA
"12879",181,"Trisopterus minutus","eez","Ireland",0.5,NA
"12880",182,"Trisopterus minutus","eez","Spain",0.5,NA
"12881",183,"Trisopterus minutus","eez","Portugal",0.5,NA
"12882",189,"Trisopterus minutus","eez","Lithuania",0.5,NA
"12883",222,"Trisopterus minutus","eez","Sweden",0.5,NA
"12884",223,"Trisopterus minutus","eez","Norway",0.5,NA
"12885",228,"Trisopterus minutus","eez","Guernsey",0.5,NA
"12886",59,"Trisopterus minutus","eez","Belgium",0,NA
"12887",62,"Trisopterus minutus","eez","Morocco",0,NA
"12888",69,"Trisopterus minutus","eez","Latvia",0,NA
"12889",70,"Trisopterus minutus","eez","Estonia",0,NA
"12890",73,"Trisopterus minutus","eez","Russia",0,NA
"12891",141,"Trisopterus minutus","eez","Faeroe Islands",0,NA
"12892",143,"Trisopterus minutus","eez","Iceland",0,NA
"12893",174,"Trisopterus minutus","eez","Finland",0,NA
"12894",175,"Trisopterus minutus","eez","Denmark",0,NA
"12895",176,"Trisopterus minutus","eez","Germany",0,NA
"12896",177,"Trisopterus minutus","eez","Netherlands",0,NA
"12897",178,"Trisopterus minutus","eez","Poland",0,NA
"12898",179,"Trisopterus minutus","eez","France",0,NA
"12899",180,"Trisopterus minutus","eez","United Kingdom",0,NA
"12900",181,"Trisopterus minutus","eez","Ireland",0,NA
"12901",182,"Trisopterus minutus","eez","Spain",0,NA
"12902",183,"Trisopterus minutus","eez","Portugal",0,NA
"12903",189,"Trisopterus minutus","eez","Lithuania",0,NA
"12904",222,"Trisopterus minutus","eez","Sweden",0,NA
"12905",223,"Trisopterus minutus","eez","Norway",0,NA
"12906",228,"Trisopterus minutus","eez","Guernsey",0,NA
"12907",59,"Trisopterus luscus","eez","Belgium",0.5,NA
"12908",61,"Trisopterus luscus","eez","Tunisia",0.5,NA
"12909",62,"Trisopterus luscus","eez","Morocco",0.5,NA
"12910",84,"Trisopterus luscus","eez","Algeria",0.5,NA
"12911",141,"Trisopterus luscus","eez","Faeroe Islands",0.5,NA
"12912",175,"Trisopterus luscus","eez","Denmark",0.5,NA
"12913",176,"Trisopterus luscus","eez","Germany",0.5,NA
"12914",177,"Trisopterus luscus","eez","Netherlands",0.5,NA
"12915",178,"Trisopterus luscus","eez","Poland",0.5,NA
"12916",179,"Trisopterus luscus","eez","France",0.5,NA
"12917",180,"Trisopterus luscus","eez","United Kingdom",0.5,NA
"12918",181,"Trisopterus luscus","eez","Ireland",0.5,NA
"12919",182,"Trisopterus luscus","eez","Spain",0.5,NA
"12920",183,"Trisopterus luscus","eez","Portugal",0.5,NA
"12921",184,"Trisopterus luscus","eez","Italy",0.5,NA
"12922",187,"Trisopterus luscus","eez","Croatia",0.5,NA
"12923",188,"Trisopterus luscus","eez","Slovenia",0.5,NA
"12924",222,"Trisopterus luscus","eez","Sweden",0.5,NA
"12925",223,"Trisopterus luscus","eez","Norway",0.5,NA
"12926",228,"Trisopterus luscus","eez","Guernsey",0.5,NA
"12927",262,"Trisopterus luscus","fao","Atlantic, Northeast",0.5,27
"12928",59,"Trisopterus luscus","eez","Belgium",0,NA
"12929",61,"Trisopterus luscus","eez","Tunisia",0,NA
"12930",62,"Trisopterus luscus","eez","Morocco",0,NA
"12931",84,"Trisopterus luscus","eez","Algeria",0,NA
"12932",141,"Trisopterus luscus","eez","Faeroe Islands",0,NA
"12933",175,"Trisopterus luscus","eez","Denmark",0,NA
"12934",176,"Trisopterus luscus","eez","Germany",0,NA
"12935",177,"Trisopterus luscus","eez","Netherlands",0,NA
"12936",178,"Trisopterus luscus","eez","Poland",0,NA
"12937",179,"Trisopterus luscus","eez","France",0,NA
"12938",180,"Trisopterus luscus","eez","United Kingdom",0,NA
"12939",181,"Trisopterus luscus","eez","Ireland",0,NA
"12940",182,"Trisopterus luscus","eez","Spain",0,NA
"12941",183,"Trisopterus luscus","eez","Portugal",0,NA
"12942",184,"Trisopterus luscus","eez","Italy",0,NA
"12943",187,"Trisopterus luscus","eez","Croatia",0,NA
"12944",188,"Trisopterus luscus","eez","Slovenia",0,NA
"12945",222,"Trisopterus luscus","eez","Sweden",0,NA
"12946",223,"Trisopterus luscus","eez","Norway",0,NA
"12947",228,"Trisopterus luscus","eez","Guernsey",0,NA
"12948",262,"Trisopterus luscus","fao","Atlantic, Northeast",0,27
"12949",69,"Trisopterus esmarkii","eez","Latvia",0.5,NA
"12950",70,"Trisopterus esmarkii","eez","Estonia",0.5,NA
"12951",73,"Trisopterus esmarkii","eez","Russia",0.5,NA
"12952",141,"Trisopterus esmarkii","eez","Faeroe Islands",0.5,NA
"12953",143,"Trisopterus esmarkii","eez","Iceland",0.5,NA
"12954",144,"Trisopterus esmarkii","eez","Jan Mayen",0.5,NA
"12955",145,"Trisopterus esmarkii","eez","Greenland",0.5,NA
"12956",174,"Trisopterus esmarkii","eez","Finland",0.5,NA
"12957",175,"Trisopterus esmarkii","eez","Denmark",0.5,NA
"12958",176,"Trisopterus esmarkii","eez","Germany",0.5,NA
"12959",177,"Trisopterus esmarkii","eez","Netherlands",0.5,NA
"12960",178,"Trisopterus esmarkii","eez","Poland",0.5,NA
"12961",179,"Trisopterus esmarkii","eez","France",0.5,NA
"12962",180,"Trisopterus esmarkii","eez","United Kingdom",0.5,NA
"12963",181,"Trisopterus esmarkii","eez","Ireland",0.5,NA
"12964",189,"Trisopterus esmarkii","eez","Lithuania",0.5,NA
"12965",222,"Trisopterus esmarkii","eez","Sweden",0.5,NA
"12966",223,"Trisopterus esmarkii","eez","Norway",0.5,NA
"12967",228,"Trisopterus esmarkii","eez","Guernsey",0.5,NA
"12968",262,"Trisopterus esmarkii","fao","Atlantic, Northeast",0.5,27
"12969",69,"Trisopterus esmarkii","eez","Latvia",0,NA
"12970",70,"Trisopterus esmarkii","eez","Estonia",0,NA
"12971",73,"Trisopterus esmarkii","eez","Russia",0,NA
"12972",141,"Trisopterus esmarkii","eez","Faeroe Islands",0,NA
"12973",143,"Trisopterus esmarkii","eez","Iceland",0,NA
"12974",144,"Trisopterus esmarkii","eez","Jan Mayen",0,NA
"12975",145,"Trisopterus esmarkii","eez","Greenland",0,NA
"12976",174,"Trisopterus esmarkii","eez","Finland",0,NA
"12977",175,"Trisopterus esmarkii","eez","Denmark",0,NA
"12978",176,"Trisopterus esmarkii","eez","Germany",0,NA
"12979",177,"Trisopterus esmarkii","eez","Netherlands",0,NA
"12980",178,"Trisopterus esmarkii","eez","Poland",0,NA
"12981",179,"Trisopterus esmarkii","eez","France",0,NA
"12982",180,"Trisopterus esmarkii","eez","United Kingdom",0,NA
"12983",181,"Trisopterus esmarkii","eez","Ireland",0,NA
"12984",189,"Trisopterus esmarkii","eez","Lithuania",0,NA
"12985",222,"Trisopterus esmarkii","eez","Sweden",0,NA
"12986",223,"Trisopterus esmarkii","eez","Norway",0,NA
"12987",228,"Trisopterus esmarkii","eez","Guernsey",0,NA
"12988",262,"Trisopterus esmarkii","fao","Atlantic, Northeast",0,27
"12989",1,"Trichiurus lepturus","eez","Cocos Islands",0.5,NA
"12990",2,"Trichiurus lepturus","eez","Christmas Island",0.5,NA
"12991",3,"Trichiurus lepturus","eez","Norfolk Island",0.5,NA
"12992",5,"Trichiurus lepturus","eez","New Caledonia",0.5,NA
"12993",6,"Trichiurus lepturus","eez","Vanuatu",0.5,NA
"12994",7,"Trichiurus lepturus","eez","Solomon Islands",0.5,NA
"12995",8,"Trichiurus lepturus","eez","Palau",0.5,NA
"12996",9,"Trichiurus lepturus","eez","Micronesia",0.5,NA
"12997",10,"Trichiurus lepturus","eez","Nauru",0.5,NA
"12998",11,"Trichiurus lepturus","eez","Marshall Islands",0.5,NA
"12999",12,"Trichiurus lepturus","eez","Wake Island",0.5,NA
"13000",13,"Trichiurus lepturus","eez","Northern Mariana Islands and Guam",0.5,NA
"13001",14,"Trichiurus lepturus","eez","Taiwan",0.5,NA
"13002",15,"Trichiurus lepturus","eez","Philippines",0.5,NA
"13003",16,"Trichiurus lepturus","eez","Australia",0.5,NA
"13004",17,"Trichiurus lepturus","eez","Papua New Guinea",0.5,NA
"13005",18,"Trichiurus lepturus","eez","Fiji",0.5,NA
"13006",19,"Trichiurus lepturus","eez","Tuvalu",0.5,NA
"13007",20,"Trichiurus lepturus","eez","South Korea",0.5,NA
"13008",21,"Trichiurus lepturus","eez","North Korea",0.5,NA
"13009",24,"Trichiurus lepturus","eez","Cambodia",0.5,NA
"13010",25,"Trichiurus lepturus","eez","Thailand",0.5,NA
"13011",26,"Trichiurus lepturus","eez","Andaman and Nicobar",0.5,NA
"13012",28,"Trichiurus lepturus","eez","Comoro Islands",0.5,NA
"13013",29,"Trichiurus lepturus","eez","Mayotte",0.5,NA
"13014",30,"Trichiurus lepturus","eez","Glorioso Islands",0.5,NA
"13015",31,"Trichiurus lepturus","eez","Seychelles",0.5,NA
"13016",32,"Trichiurus lepturus","eez","R_union",0.5,NA
"13017",33,"Trichiurus lepturus","eez","Juan de Nova Island",0.5,NA
"13018",34,"Trichiurus lepturus","eez","Bassas da India",0.5,NA
"13019",35,"Trichiurus lepturus","eez","Ile Europa",0.5,NA
"13020",36,"Trichiurus lepturus","eez","Ile Tromelin",0.5,NA
"13021",37,"Trichiurus lepturus","eez","Mauritius",0.5,NA
"13022",38,"Trichiurus lepturus","eez","British Indian Ocean Territory",0.5,NA
"13023",39,"Trichiurus lepturus","eez","Maldives",0.5,NA
"13024",40,"Trichiurus lepturus","eez","Sri Lanka",0.5,NA
"13025",41,"Trichiurus lepturus","eez","Mozambique",0.5,NA
"13026",42,"Trichiurus lepturus","eez","Madagascar",0.5,NA
"13027",43,"Trichiurus lepturus","eez","Kenya",0.5,NA
"13028",44,"Trichiurus lepturus","eez","Somalia",0.5,NA
"13029",45,"Trichiurus lepturus","eez","Eritrea",0.5,NA
"13030",46,"Trichiurus lepturus","eez","Djibouti",0.5,NA
"13031",47,"Trichiurus lepturus","eez","Yemen",0.5,NA
"13032",48,"Trichiurus lepturus","eez","Oman",0.5,NA
"13033",49,"Trichiurus lepturus","eez","Sudan",0.5,NA
"13034",50,"Trichiurus lepturus","eez","Saudi Arabia",0.5,NA
"13035",51,"Trichiurus lepturus","eez","Kuwait",0.5,NA
"13036",53,"Trichiurus lepturus","eez","Pakistan",0.5,NA
"13037",54,"Trichiurus lepturus","eez","United Arab Emirates",0.5,NA
"13038",55,"Trichiurus lepturus","eez","Azores",0.5,NA
"13039",56,"Trichiurus lepturus","eez","Cape Verde",0.5,NA
"13040",57,"Trichiurus lepturus","eez","Madeira",0.5,NA
"13041",58,"Trichiurus lepturus","eez","Canary Islands",0.5,NA
"13042",61,"Trichiurus lepturus","eez","Tunisia",0.5,NA
"13043",62,"Trichiurus lepturus","eez","Morocco",0.5,NA
"13044",63,"Trichiurus lepturus","eez","Western Sahara",0.5,NA
"13045",64,"Trichiurus lepturus","eez","Mauritania",0.5,NA
"13046",65,"Trichiurus lepturus","eez","Gambia",0.5,NA
"13047",66,"Trichiurus lepturus","eez","Senegal",0.5,NA
"13048",67,"Trichiurus lepturus","eez","Libya",0.5,NA
"13049",68,"Trichiurus lepturus","eez","Malta",0.5,NA
"13050",73,"Trichiurus lepturus","eez","Russia",0.5,NA
"13051",76,"Trichiurus lepturus","eez","Turkey",0.5,NA
"13052",77,"Trichiurus lepturus","eez","Syria",0.5,NA
"13053",78,"Trichiurus lepturus","eez","Lebanon",0.5,NA
"13054",79,"Trichiurus lepturus","eez","Israel",0.5,NA
