"","ohi_rgn","species","rgn_typ","rgn_nam","probability","FAOarea"
"91",54,"Saurida tumbil","eez","United Arab Emirates",0.5,NA
"92",102,"Saurida tumbil","eez","South Africa",0.5,NA
"93",190,"Saurida tumbil","eez","Qatar",0.5,NA
"94",191,"Saurida tumbil","eez","Iran",0.5,NA
"95",202,"Saurida tumbil","eez","Tanzania",0.5,NA
"96",203,"Saurida tumbil","eez","India",0.5,NA
"97",204,"Saurida tumbil","eez","Bangladesh",0.5,NA
"98",205,"Saurida tumbil","eez","Myanmar",0.5,NA
"99",206,"Saurida tumbil","eez","Malaysia",0.5,NA
"100",207,"Saurida tumbil","eez","Vietnam",0.5,NA
"101",208,"Saurida tumbil","eez","Singapore",0.5,NA
"102",209,"Saurida tumbil","eez","China",0.5,NA
"103",210,"Saurida tumbil","eez","Japan",0.5,NA
"104",214,"Saurida tumbil","eez","Egypt",0.5,NA
"105",216,"Saurida tumbil","eez","Indonesia",0.5,NA
"106",231,"Saurida tumbil","eez","East Timor",0.5,NA
"107",237,"Saurida tumbil","eez","Oecussi Ambeno",0.5,NA
"108",247,"Saurida tumbil","eez","Brunei",0.5,NA
"109",269,"Saurida tumbil","fao","Indian Ocean, Western",0.5,51
"110",1,"Saurida tumbil","eez","Cocos Islands",0,NA
"111",2,"Saurida tumbil","eez","Christmas Island",0,NA
"112",8,"Saurida tumbil","eez","Palau",0,NA
"113",9,"Saurida tumbil","eez","Micronesia",0,NA
"114",13,"Saurida tumbil","eez","Northern Mariana Islands and Guam",0,NA
"115",14,"Saurida tumbil","eez","Taiwan",0,NA
"116",15,"Saurida tumbil","eez","Philippines",0,NA
"117",16,"Saurida tumbil","eez","Australia",0,NA
"118",17,"Saurida tumbil","eez","Papua New Guinea",0,NA
"119",24,"Saurida tumbil","eez","Cambodia",0,NA
"120",25,"Saurida tumbil","eez","Thailand",0,NA
"121",26,"Saurida tumbil","eez","Andaman and Nicobar",0,NA
"122",28,"Saurida tumbil","eez","Comoro Islands",0,NA
"123",29,"Saurida tumbil","eez","Mayotte",0,NA
"124",30,"Saurida tumbil","eez","Glorioso Islands",0,NA
"125",31,"Saurida tumbil","eez","Seychelles",0,NA
"126",32,"Saurida tumbil","eez","R_union",0,NA
"127",33,"Saurida tumbil","eez","Juan de Nova Island",0,NA
"128",34,"Saurida tumbil","eez","Bassas da India",0,NA
"129",35,"Saurida tumbil","eez","Ile Europa",0,NA
"130",36,"Saurida tumbil","eez","Ile Tromelin",0,NA
